Radius,1600-3d-3Kx_093_S5_Radius Histo.csv,1600-3d-3Kx_097_S5_Radius Histo.csv,1600-3d-3Kx_102_M1_Radius Histo.csv,1600-3d.2-3Kx_107_S6_Radius Histo.csv,1600-3d.2-3Kx_111_M1_Radius Histo.csv,Sum_of_Frequencies,Average Cumulative Diameter,Cumulative Diameter SD,Cumulative Diameter Skewness,Cumulative Diameter Kurtosis
10.2703,0,0,0,0,0,0,0,0,0,0
10.3153,0,0,0,0,0,0,0,0,0,0
10.3604,0,0,0,0,0,0,0,0,0,0
10.4054,0,0,0,0,0,0,0,0,0,0
10.4505,0,0,0,0,0,0,0,0,0,0
10.4955,0,0,0,0,0,0,0,0,0,0
10.5405,0,0,0,0,0,0,0,0,0,0
10.5856,0,0,0,0,0,0,0,0,0,0
10.6306,0,0,0,0,0,0,0,0,0,0
10.6757,0,0,0,0,0,0,0,0,0,0
10.7207,0,0,0,0,0,0,0,0,0,0
10.7658,0,0,0,0,0,0,0,0,0,0
10.8108,0,0,0,0,0,0,0,0,0,0
10.8559,0,0,0,0,0,0,0,0,0,0
10.9009,0,0,0,0,0,0,0,0,0,0
10.9459,0,0,0,0,0,0,0,0,0,0
10.9910,0,0,0,0,0,0,0,0,0,0
11.0360,0,0,0,0,0,0,0,0,0,0
11.0811,0,0,0,0,0,0,0,0,0,0
11.1261,0,0,0,0,0,0,0,0,0,0
11.1712,0,0,0,0,0,0,0,0,0,0
11.2162,0,0,0,0,0,0,0,0,0,0
11.2613,0,0,0,0,0,0,0,0,0,0
11.3063,0,0,0,0,0,0,0,0,0,0
11.3514,0,0,0,0,0,0,0,0,0,0
11.3964,0,0,0,0,0,0,0,0,0,0
11.4414,0,0,0,0,0,0,0,0,0,0
11.4865,0,0,0,0,0,0,0,0,0,0
